title,time_published,summary,overall_sentiment_score,overall_sentiment_label,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Oracle Reports After The Close On 3/10 - Options Contracts Expire The Next Day,20220308T182025,"According to NextEarningsDate.com, the Oracle ORCL next earnings date is projected to be 3/10 after the close, with earnings estimates of $1.18/share on $10.51 Billion of revenue.",0.069867,Neutral,ORCL,0.925567,0.0066,Neutral
Oracle Whale Trades For March 08,20220308T203358,"A whale with a lot of money to spend has taken a noticeably bearish stance on Oracle.
Looking at options history for Oracle  ( NYSE:ORCL )  we detected 15 strange trades.
If we consider the specifics of each trade, it is accurate to state that 33% of the investors opened trades with bullish expectat",0.187695,Somewhat-Bullish,ORCL,0.432734,-0.107121,Neutral
Here's How Much You Would Have Made Owning Oracle Stock In The Last 20 Years,20220310T180433,"Oracle  ( NYSE:ORCL )  has outperformed the market over the past 20 years by 2.73% on an annualized basis. 
Buying $1,000 In ORCL: 20 years ago, an investor could have purchased 79.37 shares of Oracle at the time with $1,000. This investment in ORCL would have produced ...Full story available on Ben",0.054314,Neutral,ORCL,0.972797,0.054314,Neutral
"Oracle Stock Slides After Q3 EPS Miss, Falling Operating Margins and Free Cash Flow",20220310T211913,"Oracle Corporation  ( NYSE: ORCL )  reported third-quarter FY22 sales growth of 4% year-over-year to $10.513 billion, in line with the consensus of $10.51 billion.
Adjusted EPS $1.13, missing the consensus estimates of $1.18.
Cloud services and license support revenues were up 5% in USD and up 8% in",-0.034086,Neutral,ORCL,0.724687,-0.00118,Neutral
Oracle stock drops after earnings fall short of Wall Street's forecast,20220310T212500,Oracle Corp. shares fell in the extended session Thursday after the database-software company's earnings missed Wall Street estimates.,-0.080954,Neutral,ORCL,0.853521,-0.080954,Neutral
Oracle Shares Slide as Earnings Match Estimates,20220310T215200,"Oracle shares are heading lower after the enterprise software company posted financial results that were in line with the company's forecasts, but apparently disappointing to some investors.",-0.296718,Somewhat-Bearish,ORCL,0.928707,-0.296718,Somewhat-Bearish
Oracle  ( ORCL )  Q3 Earnings Miss Estimates,20220310T222508,"Oracle (ORCL) delivered earnings and revenue surprises of -3.42% and 0.02%, respectively, for the quarter ended February 2022. Do the numbers hold clues to what lies ahead for the stock?",0.013136,Neutral,ORCL,0.377998,0.001136,Neutral
Uncertainty Prevails as Indexes Turn South Again,20220310T224800,We are mostly exhausted of most economic reads up until the Fed's next monetary policy meeting mid-next week.,-0.26052,Somewhat-Bearish,ORCL,0.276596,-0.189404,Somewhat-Bearish
Oracle Stock Little Changed as Earnings Match Estimates,20220310T225300,Oracle Stock Is Little Changed. Earnings Matched Estimates. Barron's,-0.090848,Neutral,ORCL,0.900719,-0.090848,Neutral
Human Capital Management Market to Reach USD 46.85 Billion in 2029; Rising Demand for Performance Management & Workforce Management Solutions to Aid Growth: Fortune Business Insights™,20220311T120055,"Pune, India, March  11, 2022   ( GLOBE NEWSWIRE )  -- The human capital management market size was USD 23.60 billion in 2021. The market is projected to grow from USD 25.53 billion in 2022 to USD 46.85 billion in 2029 at a CAGR of 9.1% during the 2022-2029 period. This vital information is presented",0.056842,Neutral,ORCL,0.028599,0.000453,Neutral
