title,summary,overall_sentiment_score,overall_sentiment_label,Date,Time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Oracle Reports After The Close On 3/10 - Options Contracts Expire The Next Day,"According to NextEarningsDate.com, the Oracle ORCL next earnings date is projected to be 3/10 after the close, with earnings estimates of $1.18/share on $10.51 Billion of revenue.",0.069867,Neutral,2022-03-08,18:20:25,ORCL,0.925567,0.0066,Neutral
Oracle Whale Trades For March 08,"A whale with a lot of money to spend has taken a noticeably bearish stance on Oracle.
Looking at options history for Oracle  ( NYSE:ORCL )  we detected 15 strange trades.
If we consider the specifics of each trade, it is accurate to state that 33% of the investors opened trades with bullish expectat",0.187695,Somewhat-Bullish,2022-03-08,20:33:58,ORCL,0.432734,-0.107121,Neutral
Here's How Much You Would Have Made Owning Oracle Stock In The Last 20 Years,"Oracle  ( NYSE:ORCL )  has outperformed the market over the past 20 years by 2.73% on an annualized basis. 
Buying $1,000 In ORCL: 20 years ago, an investor could have purchased 79.37 shares of Oracle at the time with $1,000. This investment in ORCL would have produced ...Full story available on Ben",0.054314,Neutral,2022-03-10,18:04:33,ORCL,0.972797,0.054314,Neutral
"Oracle Stock Slides After Q3 EPS Miss, Falling Operating Margins and Free Cash Flow","Oracle Corporation  ( NYSE: ORCL )  reported third-quarter FY22 sales growth of 4% year-over-year to $10.513 billion, in line with the consensus of $10.51 billion.
Adjusted EPS $1.13, missing the consensus estimates of $1.18.
Cloud services and license support revenues were up 5% in USD and up 8% in",-0.034086,Neutral,2022-03-10,21:19:13,ORCL,0.724687,-0.00118,Neutral
Oracle stock drops after earnings fall short of Wall Street's forecast,Oracle Corp. shares fell in the extended session Thursday after the database-software company's earnings missed Wall Street estimates.,-0.080954,Neutral,2022-03-10,21:25:00,ORCL,0.853521,-0.080954,Neutral
Oracle Shares Slide as Earnings Match Estimates,"Oracle shares are heading lower after the enterprise software company posted financial results that were in line with the company's forecasts, but apparently disappointing to some investors.",-0.296718,Somewhat-Bearish,2022-03-10,21:52:00,ORCL,0.928707,-0.296718,Somewhat-Bearish
Oracle  ( ORCL )  Q3 Earnings Miss Estimates,"Oracle (ORCL) delivered earnings and revenue surprises of -3.42% and 0.02%, respectively, for the quarter ended February 2022. Do the numbers hold clues to what lies ahead for the stock?",0.013136,Neutral,2022-03-10,22:25:08,ORCL,0.377998,0.001136,Neutral
Uncertainty Prevails as Indexes Turn South Again,We are mostly exhausted of most economic reads up until the Fed's next monetary policy meeting mid-next week.,-0.26052,Somewhat-Bearish,2022-03-10,22:48:00,ORCL,0.276596,-0.189404,Somewhat-Bearish
Oracle Stock Little Changed as Earnings Match Estimates,Oracle Stock Is Little Changed. Earnings Matched Estimates. Barron's,-0.090848,Neutral,2022-03-10,22:53:00,ORCL,0.900719,-0.090848,Neutral
Human Capital Management Market to Reach USD 46.85 Billion in 2029; Rising Demand for Performance Management & Workforce Management Solutions to Aid Growth: Fortune Business Insights™,"Pune, India, March  11, 2022   ( GLOBE NEWSWIRE )  -- The human capital management market size was USD 23.60 billion in 2021. The market is projected to grow from USD 25.53 billion in 2022 to USD 46.85 billion in 2029 at a CAGR of 9.1% during the 2022-2029 period. This vital information is presented",0.056842,Neutral,2022-03-11,12:00:55,ORCL,0.028599,0.000453,Neutral
Oracle Stock Chart: Key Support Level Is Tested After Earnings Miss,Oracle stock is testing a key support level after the software giant's earnings report. Here's where it must hold tOracle stock is testing a key support level after the software giant's earnings report. Here's where it must hold to avoid making new lows.o avoid making new lows.,-0.394062,Bearish,2022-03-11,16:12:00,ORCL,0.80056,-0.381461,Bearish
Analysts Slash Their PTs On Oracle As They Did Not Buy Its Growth Story,"Analysts slashed their price targets on Oracle Corp  ( NYSE: ORCL )  post Q3 results.
Piper Sandler analyst Brent Bracelin downgraded to Underweight from Neutral with a PT of $70  ( 8.7% downside ) , down from $100. 
Bracelin found it challenging to reach double-digit organic growth next year, susta",0.0869,Neutral,2022-03-11,16:42:34,ORCL,0.745999,0.068793,Neutral
What to Expect from the Q1 2022 Earnings Season,The expectation currently is for 2022 Q1 estimates to be up +3.7% from the same period last year on +9.8% higher revenues...,-0.024,Neutral,2022-03-11,20:29:00,ORCL,0.167525,0.088082,Neutral
"JPMorgan, FedEx, AutoZone, Costco and Oracle are part of Zacks Earnings Preview","JPMorgan, FedEx, AutoZone, Costco and Oracle are highlighted in this Earnings Preview article.",-0.102878,Neutral,2022-03-14,08:49:00,ORCL,0.113543,0.046044,Neutral
"Company News for Mar 14, 2022","Companies In The News Are: BKE. ORCL, DOCU, RIVN.",-0.197698,Somewhat-Bearish,2022-03-14,13:37:00,ORCL,0.557075,0.007638,Neutral
ORCL: Oracle vs. SAP: Which Software Stock is a Better Buy?,"Technology stocks have outpaced the broader markets by a significant margin in the last decade. For example, the Technology ETF  (  XLK  )  has returned 654% while the S&P 500 Index is up 376% since the start of 2010.",0.044098,Neutral,2022-03-14,16:05:52,ORCL,0.716023,0.050108,Neutral
Multichannel Order Management Market size to Grow by USD 1.43 billion | Technavio,"Access our detailed 120-page report on ""Multichannel Order Management Market by Solution and Geography - Forecast and Analysis 2022-2026"". View Our Report Snapshot",0.001236,Neutral,2022-03-16,08:00:00,ORCL,0.051232,0.001236,Neutral
Oracle Cloud Infrastructure Achieves FedRAMP+ Authorization,"OCI surpasses FedRAMP High requirements to offer proven, secure services to defense and intelligence agencies 
AUSTIN, Texas, March 16, 2022 /PRNewswire/ -- Oracle Cloud Infrastructure  ( OCI )  for Government has achieved FedRAMP+ authorization, adding to Oracle CIoud's growing list of DISA and Fed",0.037626,Neutral,2022-03-16,11:45:00,ORCL,0.765399,0.085355,Neutral
BMC Adds Oracle Cloud Infrastructure as a Strategic Platform for its Global Multicloud Strategy,BMC Helix platform deployed on Oracle Exadata Cloud Service to deliver substantial performance improvements for customers,0.132193,Neutral,2022-03-16,12:00:00,ORCL,0.882309,0.132193,Neutral
"Got $5,000? These 2 Dividend Stocks Are Bargain Buys",These stocks also make for promising long-term growth investments.,0.183633,Somewhat-Bullish,2022-03-16,14:45:00,ORCL,0.061981,0.27194,Somewhat-Bullish
SPS Commerce Fulfillment Is Now Available on Oracle Cloud Marketplace,SPS' EDI solution for Oracle Fusion Cloud SCM connects omnichannel retail businesses with global trading partners to automate supply chain order fulfillment SPS' EDI solution for Oracle Fusion Cloud SCM connects omnichannel retail businesses with global trading partners to automate supply chain orde,0.044766,Neutral,2022-03-16,17:08:00,ORCL,0.083135,0.00228,Neutral
SPS Commerce Fulfillment Is Now Available on Oracle Cloud Marketplace,"MINNEAPOLIS, March  16, 2022   ( GLOBE NEWSWIRE )  -- SPS Commerce, Inc.  ( NASDAQ:SPSC ) , a member of Oracle PartnerNetwork  ( OPN ) , today announced that its SPS Commerce Fulfillment solution is now available on Oracle Cloud Marketplace. The marketplace showcases solutions from approved and regi",0.084914,Neutral,2022-03-16,17:08:37,ORCL,0.055428,0.001827,Neutral
Check Out What Whales Are Doing With ORCL,"A whale with a lot of money to spend has taken a noticeably bullish stance on Oracle.
Looking at options history for Oracle  ( NYSE:ORCL )  we detected 12 strange trades.
If we consider the specifics of each trade, it is accurate to state that 50% of the investors opened trades with bullish expectat",0.064234,Neutral,2022-03-17,18:11:43,ORCL,0.53784,-0.0864,Neutral
"TSM: 3 Hard-Hit Mega-Cap Stocks to Buy on the Dip: Visa, Taiwan Semiconductor, and Oracle","The benchmark indexes have been suffering significant volatility of late, owing to the concerns over the Fed's decision to raise interest rates several times this year to control record-high inflation, and deepening supply disruptions caused by the Russia-Ukraine war. The tech-heavy Nasdaq Composite has slumped 13% year-to-date, while the S&P 500 has retreated 7.4% over this period.",0.034091,Neutral,2022-03-18,12:50:09,ORCL,0.257702,0.056577,Neutral
Anaplan Stock Jumps On Acquisition By Private Equity Firm Thoma Bravo,Anaplan Stock Jumps On Acquisition By Private Equity Firm Thoma Bravo Investor's Business Daily,0.040833,Neutral,2022-03-21,13:06:43,ORCL,0.241324,0.022954,Neutral
Is Snowflake Stock a Buy After Its Q4 Earnings?,"Despite heavy sell-offs in technology stocks, Snowflake still commands a premium over its competition.",0.072601,Neutral,2022-03-23,10:52:00,ORCL,0.055454,-0.204026,Somewhat-Bearish
Oracle Names Awo Ablo to the Board of Directors,"AUSTIN, Texas, March 24, 2022 /PRNewswire/ -- Oracle Corporation  ( NYSE: ORCL )  today announced that it unanimously elected Awo Ablo to Oracle's Board of Directors and increased the size of the Board to 15. The election is effective as of March 22, 2022.",0.168416,Somewhat-Bullish,2022-03-24,13:00:00,ORCL,0.749801,0.168416,Somewhat-Bullish
"New Analysis from Global Industry Analysts Reveals Steady Growth for Business Process Management  ( BPM ) , with the Market to Reach $19.8 Billion Worldwide by 2026",• Access to our digital archives and MarketGlass Research Platform,0.007314,Neutral,2022-03-24,15:23:00,ORCL,0.03556,0.000745,Neutral
SailGP could have team owned by cryptocurrency fans by 2023,SailGP could have team owned by cryptocurrency fans by 2023 The Associated Press - en Español,0.052395,Neutral,2022-03-24,21:30:31,ORCL,0.054844,0.017301,Neutral
SailGP could have team owned by cryptocurrency fans by 2023,"SailGP, the global league co-founded by software tycoon Larry Ellison, could have a team owned and operated by cryptocurrency enthusiasts as soon as the start of its fourth season in late 2023.",0.052395,Neutral,2022-03-27,04:30:40,ORCL,0.057407,0.017301,Neutral
"Predictive Maintenance Market Size Estimated to be Worth US$ 18,653.2 Million by 2027: | CAGR: 26.5%: Astute Analytica","NEW DELHI, March 28, 2022 /PRNewswire/ -- The study conducted by Astute Analytica forecasts a growth in revenue of the Global Predictive Maintenance Market from US$ 4,560.7 Mn in 2021 to US$ 18,653.2 Mn by 2027. The market is registering a CAGR of 26.5% over the forecast period 2022-2027. Predictive maintenance is a proactive maintenance technique that uses real-time asset data  ( collected through sensors ) , historical performance data, and advanced analytics to forecast when asset failure will occur. The market is majorly driven by factors such as rising urbanization, rampant digitalization and increasing demand to decrease operation & maintenance cost.",0.024181,Neutral,2022-03-28,11:30:00,ORCL,0.026562,0.031246,Neutral
AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS ANNOUNCES THE APPOINTMENT OF KEY WORKFORCE DEVELOPMENT LEADER,"A sought-after enterprise workforce professional with more than twenty years of experience building business relationships, Sullivan brings her expertise to Escoffier's leadership team. She's charged with identifying real-world solutions to address short-term labor challenges including worker shortages and employee retention. Sullivan will enlist Escoffier partners to help develop clear-cut pathways to drive long-term employee engagement and acquisition; with a focus on workplace culture, fit, wellness and ongoing training and development. Sullivan will also play a pivotal role in the development of Escoffier's online marketplace, designed to match employers with career seekers looking for rewarding careers in the industry. The platform is scheduled to go live later this year.",0.00179,Neutral,2022-03-29,14:46:00,ORCL,0.071827,0.00179,Neutral
"CNBC's Final Trades: Carlyle Group, Oracle, Kinder Morgan And This Defensive Play","On CNBC's ""Halftime Report Final Trades,"" Josh Brown of Ritholtz Wealth Management said he was long on Carlyle Group Inc  ( NASDAQ: CG ) .
""Looks like it is snapping a downtrend that dates back to before Thanksgiving. Could be a breakout,"" he added.
Carlyle Group ""just announced a monster deal,"" Bro",-0.141247,Neutral,2022-04-01,11:54:11,ORCL,0.350316,0.120611,Neutral
San Francisco Giants Score with Oracle Cloud,"Running on Oracle Cloud Infrastructure, Simphony will provide the venue with the fast insights it needs to make informed decisions based on what is happening across inventory, pricing, and promotions. For example, if a popular promotion leads to an out-of-stock item, it will automatically be reflected on the park's digital menu boards and mobile devices. Conversely, ballpark staff can also see if there is a surplus of a certain food and decide to run a new promotion to accelerate sales.",0.165338,Somewhat-Bullish,2022-04-01,18:00:00,ORCL,0.818592,0.165338,Somewhat-Bullish
NTT DOCOMO Selects Oracle Cloud to Boost Development Capabilities for One of the World's Largest Customer Information Management Systems,Japanese mobile operator taps Oracle Cloud Infrastructure to improve service quality and enable faster delivery through automation of operation management utilizing Oracle Container Engines for Kubernetes,0.128063,Neutral,2022-04-04,12:00:00,ORCL,0.739441,0.128063,Neutral
Oracle and AICPA & CIMA Team Up to Tackle the Technology Skills Gap in Finance,New Certification Series Helps Equip the Next Generation of Finance Leaders with Digital Finance Transformation Skills and Supports the Profession's Blueprint for the Future of Finance,0.125516,Neutral,2022-04-07,12:00:00,ORCL,0.518801,0.125516,Neutral
NewNet Secure Transactions Selects Oracle Cloud Infrastructure Providing Customers with Secure and Scalable Cloud Payments,"NewNet's STC solution offers cloud-based secure payment acquiring, processing and issuer processing application with advanced data security, intelligent routing capabilities, comprehensive networking functions, point-to-point encryption and tokenized for security of payment transactions.",0.031294,Neutral,2022-04-08,11:07:00,ORCL,0.03565,0.00228,Neutral
Learning Management System Market Size [2022-2029] | to Reach USD 40.95 Billion and Exhibit a CAGR of 14.2%,"Pune, India, April  11, 2022   ( GLOBE NEWSWIRE )  -- The global learning management system market size was USD 14.43 billion in 2021. The market is expected to grow from USD 16.19 billion in 2022 to USD 40.95 billion by 2029, exhibiting a CAGR of 14.2% during the forecast period. The rising demand ",-0.005671,Neutral,2022-04-11,08:09:25,ORCL,0.035768,0.000415,Neutral
City of Tampa Redesigns Staff Operations with Oracle Fusion Cloud Applications,Florida municipality reduces costs and boosts employees' productivity by moving finance and HR applications to the cloud,0.251332,Somewhat-Bullish,2022-04-11,11:45:00,ORCL,0.971561,0.251332,Somewhat-Bullish
Former Intel Executive Founded Chipmaker Confidentially Files For US IPO,"Former Intel Corp  ( NASDAQ: INTC )  President founded chipmaker Ampere Computing has confidentially filed for a U.S. initial public offering, Reuters reports.
Founder Renee James, who serves as Ampere's CEO, also is a ...Full story available on Benzinga.com",-0.043247,Neutral,2022-04-11,20:51:42,ORCL,0.565943,0.004382,Neutral
